Timestamp,what is your age group?,what is your gender?,Where do you usually study?,On scale from 1-5 how comfortable is your study space?,How many hours do you study per day on average?,how often do you change your study location?,how would you rate your productivity when you change your studying envirnoment?,What are the main source of your distraction?,In which environment are you most productive?,How does noise in your environment affect your ability to focus?,when are you most productive?,Do you feel more productive studying alone or with others?
2026/04/05 6:39:10 AM MDT,18-22,Female,Home,4,3-5 hours,,2,,with music,,,
2026/04/05 7:25:46 AM MDT,18-22,Female,Home,4,1-2 hours,somtimes,3,phone;people;lack of motivation,with music,3,Night,Alone
2026/04/05 7:27:24 AM MDT,18-22,male,Home,4,3-5 hours,rarely,3,phone;lack of motivation,Quiet place,4,Morning,Alone
2026/04/05 7:31:02 AM MDT,below 18,Female,Home,3,3-5 hours,somtimes,3,phone;lack of motivation,with music,3,Night,Alone
2026/04/05 7:33:39 AM MDT,18-22,male,Home,3,3-5 hours,alway,3,people,Quiet place,3,Afternoon,Alone
2026/04/05 7:34:26 AM MDT,18-22,Female,Home,5,3-5 hours,somtimes,4,phone,with music,4,Night,With others
2026/04/05 7:36:26 AM MDT,18-22,Female,Home,2,3-5 hours,alway,5,phone;people,with music,4,Morning,Alone
2026/04/05 7:37:39 AM MDT,18-22,male,Home,3,1-2 hours,rarely,3,phone;noise;people;discomfort,with music,5,Night,With others
2026/04/05 7:37:59 AM MDT,18-22,Female,Home,5,1-2 hours,somtimes,3,noise;discomfort,with music,4,Night,Alone
2026/04/05 7:38:17 AM MDT,18-22,male,Home,4,1-2 hours,rarely,2,phone;lack of motivation,Quiet place,2,Night,With others
2026/04/05 7:38:33 AM MDT,18-22,Female,Home,5,1-2 hours,alway,3,phone;noise;people;discomfort,Quiet place,4,Night,Alone
2026/04/05 7:38:55 AM MDT,below 18,Female,Home,3,1-2 hours,rarely,3,lack of motivation,with music,3,Morning,Alone
2026/04/05 7:39:55 AM MDT,18-22,Female,Home,4,3-5 hours,somtimes,4,phone;noise,Quiet place,3,Night,With others
2026/04/05 7:41:27 AM MDT,below 18,male,Home,3,1-2 hours,somtimes,,phone,with music,3,Morning,With others
2026/04/05 7:41:52 AM MDT,below 18,Female,Home,4,1-2 hours,rarely,4,phone;noise;people;lack of motivation;discomfort,Quiet place,5,Morning,Alone
2026/04/05 7:42:19 AM MDT,below 18,Female,Home,3,3-5 hours,rarely,5,phone;people;lack of motivation,Quiet place,3,Afternoon,With others
2026/04/05 7:42:54 AM MDT,below 18,Female,Home,3,1-2 hours,rarely,3,phone;people,Quiet place,5,Afternoon,Alone
2026/04/05 7:43:33 AM MDT,18-22,male,Home,5,1-2 hours,never,3,phone;lack of motivation,with music,1,Night,Alone
2026/04/05 7:44:00 AM MDT,18-22,male,Home,4,3-5 hours,rarely,3,phone;lack of motivation,Quiet place,2,Night,Alone
2026/04/05 7:44:29 AM MDT,18-22,male,Home,5,3-5 hours,rarely,5,phone,with music,4,Morning,Alone
2026/04/05 7:45:01 AM MDT,18-22,male,Home,3,3-5 hours,somtimes,4,noise,with music,4,Night,Alone
2026/04/05 7:45:06 AM MDT,18-22,male,Home,4,3-5 hours,rarely,2,phone;noise,Quiet place,3,Morning,Alone
2026/04/05 7:45:12 AM MDT,18-22,Female,Home,3,3-5 hours,somtimes,3,phone;noise;lack of motivation;discomfort,with background noise,4,Night,Alone
2026/04/05 7:45:28 AM MDT,18-22,male,Home,5,1-2 hours,rarely,3,phone;noise;people,with music,2,,Alone
2026/04/05 7:45:56 AM MDT,18-22,male,Home,2,3-5 hours,rarely,3,phone;noise;people;lack of motivation;discomfort,Quiet place,4,Night,Alone
2026/04/05 7:46:15 AM MDT,18-22,male,Home,3,3-5 hours,rarely,3,phone;people,Quiet place,3,Morning,Alone
2026/04/05 7:46:27 AM MDT,18-22,male,Home,4,1-2 hours,rarely,4,phone;lack of motivation,Quiet place,3,Night,Alone
2026/04/05 7:46:32 AM MDT,below 18,Female,Home,4,3-5 hours,somtimes,3,phone;people;lack of motivation,Quiet place,5,Morning,Alone
2026/04/05 7:47:08 AM MDT,below 18,male,Library,4,3-5 hours,somtimes,5,people,with background noise,5,Night,Alone
2026/04/05 7:47:23 AM MDT,18-22,male,Home,5,1-2 hours,never,5,people,Quiet place,4,Night,Alone
2026/04/05 7:47:36 AM MDT,18-22,Female,Home,3,1-2 hours,somtimes,3,lack of motivation,Quiet place,4,Night,With others
2026/04/05 7:47:38 AM MDT,below 18,Female,Home,3,3-5 hours,somtimes,5,people,Quiet place,4,Afternoon,Alone
2026/04/05 7:47:46 AM MDT,below 18,Female,Home,4,3-5 hours,rarely,5,phone,with music,3,Night,With others
2026/04/05 7:47:52 AM MDT,18-22,Female,Home,4,3-5 hours,alway,5,phone;lack of motivation,with background noise,2,Morning,With others
2026/04/05 7:48:01 AM MDT,18-22,male,Home,3,3-5 hours,somtimes,3,phone,with background noise,4,Morning,Alone
2026/04/05 7:48:21 AM MDT,18-22,male,Home,4,1-2 hours,rarely,2,phone;noise;people;lack of motivation;discomfort,Quiet place,5,Afternoon,With others
2026/04/05 7:49:21 AM MDT,18-22,male,Home,3,1-2 hours,alway,4,phone;people,with music,1,Night,Alone
2026/04/05 7:49:23 AM MDT,25+,Female,Home,3,1-2 hours,somtimes,3,phone,Quiet place,1,Night,Alone
2026/04/05 7:49:36 AM MDT,18-22,Female,other,3,1-2 hours,rarely,3,phone,with music,2,Night,Alone
2026/04/05 7:49:45 AM MDT,18-22,male,Home,4,1-2 hours,somtimes,3,phone;lack of motivation,with music,5,Night,Alone
2026/04/05 7:49:57 AM MDT,18-22,Female,Home,4,1-2 hours,rarely,2,phone;noise;people;lack of motivation;discomfort,Quiet place,5,Afternoon,Alone
2026/04/05 7:49:58 AM MDT,below 18,Female,Home,5,3-5 hours,somtimes,4,phone;noise;lack of motivation,Quiet place,5,Morning,Alone
2026/04/05 7:51:20 AM MDT,18-22,Female,Home,4,3-5 hours,rarely,3,phone;noise;lack of motivation,with music,4,Morning,With others
2026/04/05 7:52:20 AM MDT,18-22,Female,Home,3,3-5 hours,somtimes,5,phone;lack of motivation,with music,3,Night,With others
2026/04/05 7:52:24 AM MDT,18-22,Female,Home,3,1-2 hours,rarely,2,phone,Quiet place,5,Morning,Alone
2026/04/05 7:53:47 AM MDT,below 18,male,Home,5,3-5 hours,alway,5,phone,with music,3,Night,Alone
2026/04/05 7:53:57 AM MDT,18-22,Female,Home,3,1-2 hours,somtimes,3,phone;lack of motivation,with music,4,Night,With others
2026/04/05 7:56:24 AM MDT,18-22,male,Home,3,1-2 hours,somtimes,3,phone;people;lack of motivation,Quiet place,3,Night,With others
2026/04/05 7:57:35 AM MDT,below 18,male,Home,4,3-5 hours,rarely,5,phone,Quiet place,5,Afternoon,Alone
2026/04/05 7:57:40 AM MDT,18-22,male,Home,4,3-5 hours,somtimes,4,noise;lack of motivation,Quiet place,3,Morning,With others
2026/04/05 7:58:50 AM MDT,18-22,male,Home,4,3-5 hours,rarely,2,phone;discomfort,Quiet place,3,Afternoon,Alone
2026/04/05 7:58:59 AM MDT,18-22,Female,Home,5,3-5 hours,rarely,4,phone;noise;people,Quiet place,2,Afternoon,With others
2026/04/05 7:59:40 AM MDT,18-22,Female,Cafe,3,1-2 hours,somtimes,4,phone;noise;lack of motivation,Quiet place,4,Night,Alone
2026/04/05 7:59:43 AM MDT,18-22,Female,Home,3,3-5 hours,rarely,3,phone;lack of motivation,Quiet place,3,Night,Alone
2026/04/05 8:00:24 AM MDT,18-22,male,Home,4,1-2 hours,somtimes,4,phone;noise;people;lack of motivation,Quiet place,4,Night,Alone
2026/04/05 8:00:43 AM MDT,18-22,male,Home,3,1-2 hours,alway,4,phone;lack of motivation;discomfort,with music,2,Night,With others
2026/04/05 8:00:50 AM MDT,18-22,male,Home,4,1-2 hours,rarely,4,phone;people;lack of motivation,with music,3,Night,With others
2026/04/05 8:00:50 AM MDT,18-22,male,Home,4,3-5 hours,never,5,phone,with music,5,Night,Alone
2026/04/05 8:01:35 AM MDT,below 18,Female,Home,4,3-5 hours,rarely,3,phone;lack of motivation,Quiet place,4,Afternoon,Alone
2026/04/05 8:02:49 AM MDT,18-22,Female,Home,4,3-5 hours,rarely,3,phone;noise;lack of motivation,with music,5,Morning,Alone
2026/04/05 8:04:04 AM MDT,18-22,male,Home,3,3-5 hours,rarely,2,phone;people;lack of motivation,Quiet place,2,Night,With others
2026/04/05 8:04:51 AM MDT,18-22,male,Cafe,5,3-5 hours,rarely,2,phone,with music,1,Night,With others
2026/04/05 8:05:07 AM MDT,18-22,male,Home,3,5-7hours,rarely,3,lack of motivation,Quiet place,4,Morning,Alone
2026/04/05 8:05:58 AM MDT,18-22,Female,Home,4,3-5 hours,somtimes,3,phone;lack of motivation,with music,4,Morning,With others
2026/04/05 8:10:21 AM MDT,18-22,male,Home,3,1-2 hours,rarely,3,phone;people;lack of motivation,with music,4,Night,Alone
2026/04/05 8:12:32 AM MDT,25+,Female,Home,3,3-5 hours,rarely,3,phone;noise;people,with music,4,Morning,With others
2026/04/05 8:13:40 AM MDT,18-22,male,Home,4,3-5 hours,alway,3,phone,Quiet place,3,Night,Alone
2026/04/05 8:15:22 AM MDT,18-22,Female,Home,5,3-5 hours,somtimes,3,phone;people,with music,2,Morning,Alone
2026/04/05 8:16:49 AM MDT,18-22,male,Home,4,3-5 hours,somtimes,4,phone;noise;discomfort,Quiet place,5,Morning,Alone
2026/04/05 8:16:53 AM MDT,18-22,Female,Home,3,1-2 hours,rarely,3,phone,with background noise,3,Night,Alone
2026/04/05 8:20:57 AM MDT,18-22,male,Home,3,1-2 hours,rarely,5,phone;lack of motivation,with background noise,5,Morning,With others
2026/04/05 8:21:41 AM MDT,18-22,Female,Home,5,1-2 hours,rarely,4,phone;lack of motivation,Quiet place,3,Night,Alone
2026/04/05 8:23:09 AM MDT,18-22,male,Home,5,3-5 hours,rarely,4,phone,with music,1,Morning,Alone
2026/04/05 8:35:46 AM MDT,below 18,Female,Home,5,1-2 hours,somtimes,3,phone;lack of motivation,Quiet place,1,Night,With others
2026/04/05 8:36:57 AM MDT,18-22,male,Home,4,3-5 hours,never,1,phone;noise;discomfort,Quiet place,4,Morning,Alone
2026/04/05 8:39:06 AM MDT,18-22,Female,Home,4,3-5 hours,rarely,3,phone;noise;people,with background noise,4,Night,Alone
2026/04/05 8:39:10 AM MDT,18-22,Female,Home,3,1-2 hours,somtimes,4,phone;lack of motivation,Quiet place,3,Morning,With others
2026/04/05 8:39:31 AM MDT,18-22,male,Cafe,4,1-2 hours,alway,2,phone;noise,Quiet place,5,Night,With others
2026/04/05 8:45:27 AM MDT,18-22,Female,Cafe,3,1-2 hours,alway,4,phone;noise;lack of motivation,with music,1,Morning,With others
2026/04/05 8:45:31 AM MDT,18-22,Female,Library,3,1-2 hours,rarely,3,phone;lack of motivation,with music,2,Morning,With others
